job_ID;top_words
1108;['spron', 'brillant', '19', 'unilever', 'ambientali']
952;['prov', 'èquip', 'esam', 'errors', 'error']
956;['ll', 'knowledg', 'differenc', 'involved', 'activating']
957;['knowledg', 'll', 'good', 'approach', 'ics']
959;['ll', 'knowledg', 'transportation', 'good', 'engineering']
961;['knowledg', 'll', 'good', 'verification', 'prevent']
962;['ll', 'equipment', 'knowledg', 'good', 'engineering']
1040;['knowledg', 'll', 'continuous', 'improvement', 'lean']
984;['ll', 'knowledg', 'good', 'engineering', 'achieved']
988;['knowledg', 'journalism', 'good', 'ast', 'qualifications']
923;['marketing', 'trad', 'definition', 'order', 'monitor']
924;['driver', 'presid', 'fornitor', 'marketing', 'budget']
925;['manutenzione', 'manutenzion', 'analis', 'beni', 'pms']
972;['sistem', 'test', 'coonosct', 'kanban', 'semilavorati']
973;['parametr', 'caratterist', 'influt', 'deviazion', 'mescol']
1027;['rdw', 'magazzin', 'distribu', 'mensil', 'pianif']
1053;['canal', 'coordin', 'dealer', 'mktg', 'codif']
1054;['riduzion', 'sigma', 'partecipazione', 'spc', 'paccett']
1180;['improvement', 'manufacturing', 'industrial', 'plants', 'programs']
1181;['prezz', 'equipagg', 'mercati', 'sistem', 'pricing']
1182;['compounds', 'properties', 'materials', 'work', 'manufacturing']
1046;['az', 'globale', 'poter', 'affront', 'mett']
715;['scienz', 'fort', 'manfrott', 'parlin', 'campi']
819;['stampi', 'macchinar', 'conosc', '3d', 'impiant']
353;['whirlpool', 'european', 'world', 'locations', 'develop']
438;['materials', 'development', 'engineering', 'technology', 'cost']
439;['motor', 'control', 'embedded', 'tools', 'targets']
440;['product', 'market', 'development', 'departments', 'products']
441;['systems', 'sap', 'hana', 'apo7', 'supply']
648;['field', 'analysis', 'forc', 'daily', 'develop']
584;['pill', 'whirlpool', 'production', 'manufacturing', 'support']
526;['finished', 'goods', 'inventory', 'industrial', 'prep']
840;['design', 'works', 'ideas', 'using', 'cad']
841;['market', 'referenc', 'product', 'country', 'markets']
842;['market', 'referenc', 'product', 'country', 'markets']
775;['marketing', 'exhibitions', 'agencies', 'pr', 'product']
776;['sgq', 'quality', 'standards', 'improvement', 'elic']
931;['social', 'attività', 'creazion', 'buon', 'conten']
986;['iot', 'functional', 'appliances', 'verification', 'non']
987;['suppliers', 'best', 'records', 'conditions', 'technical']
707;['designing', 'mechanical', 'product', 'aim', 'metal']
708;['electric', 'electronic', 'designing', 'motors', 'various']
656;['designing', 'mechanical', 'metal', 'fem', 'sheet']
