User_Id;rated_companies;suggested_companies
2509;['Employerland'];['RAI' 'Aeroporti di Roma' 'Microsoft' 'Elica' 'Leroy Merlin']
2512;['LUXOTTICA BRAZIL LTDA'];['RAI' 'Microsoft' 'Aeroporti di Roma' 'Unilever' 'Elica']
2513;['LUXOTTICA BRAZIL LTDA'];"['Roche UK' 'Tech Data' 'Datalogic' 'Whirlpool'
 ""Victoria's secret - Percassi ""]"
2514;['Employerland'];"['Lottomatica' 'Decathlon' 'Wind Tre' 'Ferrovie dello Stato Italiane'
 'Open Fiber']"
2515;['LUXOTTICA BRAZIL LTDA' 'Employerland'];"['Johnson & Johnson' 'Bosch' 'Roche UK' 'EVERIS'
 ""Victoria's secret - Percassi ""]"
2519;['Employerland'];"['Roche UK' 'EVERIS' ""Victoria's secret - Percassi "" 'Dmail-Percassi'
 'Antica Focacceria San Francesco']"
2520;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2523;['Employerland'];['Aeroporti di Roma' 'Whirlpool' 'Datalogic' 'Elica' 'RAI']
2525;['LUXOTTICA BRAZIL LTDA'];['Tech Data' 'Datalogic' 'Whirlpool' 'Aeroporti di Roma' 'RAI']
2526;['Employerland'];['Siemens' 'NTT DATA Italia' 'Pirelli' 'Cellularline' 'FRONERI']
2529;['LUXOTTICA BRAZIL LTDA'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2532;['Employerland'];"['Elica' 'Whirlpool' 'Università Europea di Roma' 'Aeroporti di Roma'
 'Calzedonia']"
2534;['Employerland'];"['EVERIS' 'Roche UK' 'Luxottica' 'Dmail-Percassi'
 'Antica Focacceria San Francesco']"
2536;['Bosch' 'Employerland' 'Johnson & Johnson'];['Whirlpool' 'Tech Data' 'Datalogic' 'Aeroporti di Roma' 'Roche UK']
2537;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2538;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'Gi Group'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2541;['Johnson & Johnson' 'Bosch'];['Elica' 'Whirlpool' 'Aeroporti di Roma' 'Siemens' 'Calzedonia']
2547;['LUXOTTICA BRAZIL LTDA' 'Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2549;['LUXOTTICA BRAZIL LTDA'];['Elica' 'Aeroporti di Roma' 'Goldenpoint' 'Siemens' 'Calzedonia']
2550;['Employerland'];['Elica' 'Aeroporti di Roma' 'Microsoft' 'RAI' 'Whirlpool']
2552;['LUXOTTICA BRAZIL LTDA' 'Employerland'];['Elica' 'EY' 'Calzedonia' 'Università Europea di Roma' 'Whirlpool']
2553;['Employerland'];['Elica' 'Whirlpool' 'Aeroporti di Roma' 'Calzedonia' 'Goldenpoint']
2554;['Employerland'];['Elica' 'Aeroporti di Roma' 'Microsoft' 'RAI' 'Whirlpool']
2558;['Employerland'];['RAI' 'Microsoft' 'Aeroporti di Roma' 'Elica' 'Leroy Merlin']
2559;['Johnson & Johnson' 'Employerland'];['Elica' 'Bosch' 'Siemens' 'Goldenpoint' 'Aeroporti di Roma']
2560;['Johnson & Johnson' 'Employerland'];['RAI' 'Microsoft' 'Aeroporti di Roma' 'Leroy Merlin' 'Unilever']
2564;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2567;['Employerland'];"[""Victoria's secret - Percassi "" 'Cellularline' 'Open Fiber' 'Roche UK'
 'Lottomatica']"
2574;['Employerland'];['Elica' 'Whirlpool' 'Aeroporti di Roma' 'Datalogic' 'Siemens']
2576;['LUXOTTICA BRAZIL LTDA'];['Elica' 'Whirlpool' 'EY' 'Tech Data' 'Datalogic']
2578;['Employerland'];['Elica' 'Aeroporti di Roma' 'RAI' 'Microsoft' 'Whirlpool']
2589;"['Johnson & Johnson' 'Aeroporti di Roma' 'Employerland' 'Bosch'
 'Bricoman Italia' 'EY']";"['Università Europea di Roma' 'Cerved' 'Roche UK'
 ""Victoria's secret - Percassi "" 'Antica Focacceria San Francesco']"
2590;['Johnson & Johnson' 'Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2591;"['Johnson & Johnson' 'Unilever' 'Employerland' 'Employerland Demo'
 'Leroy Merlin']";['RAI' 'Microsoft' 'Aeroporti di Roma' 'EY' 'Elica']
2592;"['Johnson & Johnson' 'RAI' 'Unilever' 'Aeroporti di Roma'
 'Employerland Demo' 'Employerland']";"['Microsoft' 'EVERIS' ""Victoria's secret - Percassi "" 'Dmail-Percassi'
 'NTT DATA Italia']"
2593;['Johnson & Johnson'];['RAI' 'Aeroporti di Roma' 'Microsoft' 'Whirlpool' 'Elica']
2594;['Employerland'];"['RAI' 'Microsoft' 'Aeroporti di Roma' 'EVERIS'
 ""Victoria's secret - Percassi ""]"
2595;['Employerland'];['Elica' 'Aeroporti di Roma' 'Whirlpool' 'Siemens' 'Calzedonia']
2598;['Employerland'];['Elica' 'Aeroporti di Roma' 'Whirlpool' 'Goldenpoint' 'Siemens']
2599;['Bosch' 'Johnson & Johnson' 'Leroy Merlin' 'Unilever' 'Employerland'];['Elica' 'Whirlpool' 'Aeroporti di Roma' 'Calzedonia' 'Siemens']
2603;['Employerland'];['RAI' 'Aeroporti di Roma' 'Microsoft' 'Elica' 'Leroy Merlin']
2607;['Employerland'];['Elica' 'Aeroporti di Roma' 'RAI' 'Microsoft' 'Whirlpool']
2608;['Employerland'];['RAI' 'Microsoft' 'Aeroporti di Roma' 'Unilever' 'Leroy Merlin']
2609;['Johnson & Johnson' 'Employerland'];['Employerland Demo' 'Unilever' 'Microsoft' 'Philip Morris Italia' 'RAI']
2611;['LUXOTTICA BRAZIL LTDA'];['RAI' 'Microsoft' 'Aeroporti di Roma' 'Leroy Merlin' 'Unilever']
2614;['LUXOTTICA BRAZIL LTDA'];['RAI' 'Microsoft' 'Aeroporti di Roma' 'Elica' 'Leroy Merlin']
2618;['LUXOTTICA BRAZIL LTDA'];['Employerland Demo' 'Unilever' 'Johnson & Johnson' 'Microsoft' 'RAI']
2625;['Johnson & Johnson'];['Employerland Demo' 'Unilever' 'Microsoft' 'RAI' 'Philip Morris Italia']
2627;['LUXOTTICA BRAZIL LTDA'];['Unilever' 'Employerland Demo' 'Johnson & Johnson' 'Microsoft' 'RAI']
2628;['Employerland'];"['Employerland Demo' 'Unilever' 'Johnson & Johnson' 'Philip Morris Italia'
 'Roche UK']"
2629;['LUXOTTICA BRAZIL LTDA' 'Employerland'];['RAI' 'Microsoft' 'Aeroporti di Roma' 'EY' 'Whirlpool']
2632;['LUXOTTICA BRAZIL LTDA' 'Employerland'];"['Employerland Demo' 'Unilever' 'Johnson & Johnson' 'Microsoft'
 'Philip Morris Italia']"
2633;['LUXOTTICA BRAZIL LTDA'];['RAI' 'Microsoft' 'Aeroporti di Roma' 'Unilever' 'Johnson & Johnson']
2635;['Johnson & Johnson' 'Employerland'];['Università Europea di Roma' 'EY' 'Tech Data' 'Whirlpool' 'Datalogic']
2636;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2646;['LUXOTTICA BRAZIL LTDA' 'Employerland'];['RAI' 'Microsoft' 'Aeroporti di Roma' 'Leroy Merlin' 'Elica']
2647;['LUXOTTICA BRAZIL LTDA'];['Tech Data' 'Datalogic' 'Whirlpool' 'EY' 'Aeroporti di Roma']
2658;['LUXOTTICA BRAZIL LTDA' 'Employerland'];"['RAI' 'EVERIS' ""Victoria's secret - Percassi "" 'Dmail-Percassi'
 'Antica Focacceria San Francesco']"
2659;['Employerland'];['Luxottica' 'Rinascente' 'MAG HOTELS' 'Calzedonia' 'Gi Group Horeca']
2663;['LUXOTTICA BRAZIL LTDA'];['RAI' 'Microsoft' 'Aeroporti di Roma' 'Unilever' 'Leroy Merlin']
2667;['LUXOTTICA BRAZIL LTDA' 'Employerland'];['Leroy Merlin' 'RAI' 'Microsoft' 'Aeroporti di Roma' 'Bricoman Italia']
2670;['Employerland'];['Chiesi Group' 'Sanofi SpA' 'Roche' 'Angelini' 'Bristol-Myers Squibb']
2673;['Employerland'];"['RAI' 'Microsoft' 'Aeroporti di Roma' ""Victoria's secret - Percassi ""
 'EVERIS']"
2674;['LUXOTTICA BRAZIL LTDA' 'Employerland'];['Eurobet Italia' 'PwC' 'EY' 'Università Europea di Roma' 'Cellularline']
2676;['LUXOTTICA BRAZIL LTDA'];"['RAI' ""Victoria's secret - Percassi "" 'EVERIS' 'Gi Group' 'Roche UK']"
2678;['LUXOTTICA BRAZIL LTDA'];"['Tech Data' 'Datalogic' 'Whirlpool' ""Victoria's secret - Percassi ""
 'EVERIS']"
2682;['LUXOTTICA BRAZIL LTDA'];['RAI' 'Aeroporti di Roma' 'Microsoft' 'Elica' 'Whirlpool']
2683;['Employerland'];"['RAI' 'Aeroporti di Roma' 'Microsoft' 'EVERIS'
 ""Victoria's secret - Percassi ""]"
